,10 CV // 80 RT,10 CV // 50 RT,10 CV // 0 RT,30 CV // 80 RT,30 CV // 50 RT,30 CV // 0 RT,50 CV // 80 RT,50 CV // 50 RT,50 CV // 0 RT,70 CV // 80 RT,70 CV // 50 RT,70 CV // 0 RT,90 CV // 80 RT,90 CV // 50 RT,90 CV // 0 RT,110 CV // 80 RT,110 CV // 50 RT,110 CV // 0 RT,130 CV // 80 RT,130 CV // 50 RT,130 CV // 0 RT
70 CV // 50 RT,1% Casualties,3% Casualties,4% Casualties,4% Casualties,7% Casualties,10% Casualties,6% Casualties,9% Casualties,12% Casualties,6% Casualties,9% Casualties,12% Casualties,6% Casualties,9% Casualties,13% Casualties,6% Casualties,9% Casualties,11% Casualties,6% Casualties,9% Casualties,11% Casualties
70 CV // 0 RT,2% Casualties,3% Casualties,5% Casualties,6% Casualties,11% Casualties,19% Casualties,9% Casualties,15% Casualties,27% Casualties,8% Casualties,15% Casualties,26% Casualties,9% Casualties,17% Casualties,30% Casualties,10% Casualties,18% Casualties,31% Casualties,11% Casualties,19% Casualties,32% Casualties
90 CV // 80 RT,1% Casualties,2% Casualties,4% Casualties,4% Casualties,5% Casualties,7% Casualties,5% Casualties,7% Casualties,8% Casualties,5% Casualties,7% Casualties,9% Casualties,5% Casualties,7% Casualties,9% Casualties,4% Casualties,6% Casualties,7% Casualties,4% Casualties,6% Casualties,7% Casualties
90 CV // 50 RT,1% Casualties,2% Casualties,4% Casualties,4% Casualties,6% Casualties,9% Casualties,5% Casualties,8% Casualties,11% Casualties,6% Casualties,9% Casualties,12% Casualties,6% Casualties,9% Casualties,12% Casualties,5% Casualties,8% Casualties,11% Casualties,6% Casualties,8% Casualties,11% Casualties
90 CV // 0 RT,1% Casualties,2% Casualties,4% Casualties,5% Casualties,9% Casualties,17% Casualties,7% Casualties,13% Casualties,24% Casualties,8% Casualties,16% Casualties,26% Casualties,9% Casualties,15% Casualties,27% Casualties,9% Casualties,17% Casualties,29% Casualties,10% Casualties,19% Casualties,31% Casualties
110 CV // 80 RT,1% Casualties,2% Casualties,3% Casualties,4% Casualties,5% Casualties,7% Casualties,5% Casualties,7% Casualties,9% Casualties,6% Casualties,8% Casualties,10% Casualties,6% Casualties,8% Casualties,11% Casualties,5% Casualties,7% Casualties,9% Casualties,5% Casualties,7% Casualties,9% Casualties
110 CV // 50 RT,1% Casualties,2% Casualties,3% Casualties,3% Casualties,5% Casualties,8% Casualties,5% Casualties,7% Casualties,11% Casualties,6% Casualties,9% Casualties,12% Casualties,6% Casualties,10% Casualties,14% Casualties,6% Casualties,9% Casualties,12% Casualties,6% Casualties,9% Casualties,13% Casualties
110 CV // 0 RT,1% Casualties,2% Casualties,3% Casualties,4% Casualties,7% Casualties,13% Casualties,6% Casualties,10% Casualties,18% Casualties,7% Casualties,13% Casualties,24% Casualties,8% Casualties,16% Casualties,27% Casualties,8% Casualties,15% Casualties,27% Casualties,10% Casualties,17% Casualties,30% Casualties
130 CV // 80 RT,1% Casualties,2% Casualties,3% Casualties,3% Casualties,4% Casualties,6% Casualties,5% Casualties,7% Casualties,9% Casualties,5% Casualties,7% Casualties,9% Casualties,6% Casualties,8% Casualties,10% Casualties,5% Casualties,7% Casualties,9% Casualties,5% Casualties,7% Casualties,9% Casualties
130 CV // 50 RT,1% Casualties,1% Casualties,3% Casualties,3% Casualties,4% Casualties,6% Casualties,5% Casualties,7% Casualties,11% Casualties,5% Casualties,8% Casualties,12% Casualties,6% Casualties,9% Casualties,13% Casualties,6% Casualties,9% Casualties,12% Casualties,6% Casualties,9% Casualties,12% Casualties
130 CV // 0 RT,1% Casualties,1% Casualties,3% Casualties,3% Casualties,5% Casualties,9% Casualties,6% Casualties,11% Casualties,19% Casualties,6% Casualties,12% Casualties,21% Casualties,7% Casualties,13% Casualties,24% Casualties,8% Casualties,16% Casualties,27% Casualties,9% Casualties,15% Casualties,27% Casualties
