Conversion Type,Average Deaths,Average Critical Injuries,Average Major Injuries,AverageMinorInjuries
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 75000, Control: 95, Own Province: True",0.02,0.03,0.05,0.06
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 75000, Control: 95, Own Province: False",0.1,0.2,0.29,0.39
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 75000, Control: 100, Own Province: True",0.01,0.01,0.02,0.03
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 75000, Control: 100, Own Province: False",0.1,0.2,0.31,0.39
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 75, Own Province: True",0.08,0.16,0.24,0.33
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 75, Own Province: False",0.08,0.16,0.24,0.33
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 80, Own Province: True",0.07,0.14,0.21,0.28
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 80, Own Province: False",0.09,0.19,0.27,0.35
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 85, Own Province: True",0.06,0.11,0.17,0.23
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 85, Own Province: False",0.09,0.19,0.29,0.38
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 90, Own Province: True",0.04,0.08,0.13,0.17
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 90, Own Province: False",0.1,0.2,0.3,0.39
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 95, Own Province: True",0.03,0.06,0.08,0.11
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 95, Own Province: False",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 100, Own Province: True",0.01,0.03,0.05,0.06
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 100000, Control: 100, Own Province: False",0.1,0.21,0.3,0.39
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 125000, Control: 75, Own Province: True",0.09,0.18,0.28,0.36
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 125000, Control: 75, Own Province: False",0.09,0.18,0.27,0.37
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 125000, Control: 80, Own Province: True",0.09,0.16,0.24,0.32
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 125000, Control: 80, Own Province: False",0.1,0.19,0.29,0.38
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 125000, Control: 85, Own Province: True",0.07,0.14,0.21,0.28
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 125000, Control: 85, Own Province: False",0.1,0.19,0.3,0.39
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 125000, Control: 90, Own Province: True",0.06,0.12,0.17,0.22
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 125000, Control: 90, Own Province: False",0.1,0.2,0.29,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 125000, Control: 95, Own Province: True",0.04,0.08,0.13,0.17
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 125000, Control: 95, Own Province: False",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 125000, Control: 100, Own Province: True",0.03,0.05,0.08,0.11
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 125000, Control: 100, Own Province: False",0.1,0.2,0.29,0.41
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 75, Own Province: True",0.1,0.19,0.28,0.38
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 75, Own Province: False",0.09,0.19,0.28,0.38
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 80, Own Province: True",0.09,0.18,0.27,0.36
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 80, Own Province: False",0.1,0.2,0.3,0.39
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 85, Own Province: True",0.08,0.16,0.24,0.33
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 85, Own Province: False",0.1,0.2,0.3,0.39
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 90, Own Province: True",0.07,0.14,0.21,0.27
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 90, Own Province: False",0.1,0.21,0.31,0.39
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 95, Own Province: True",0.05,0.12,0.17,0.23
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 95, Own Province: False",0.1,0.2,0.29,0.41
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 100, Own Province: True",0.04,0.08,0.13,0.17
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 150000, Control: 100, Own Province: False",0.1,0.2,0.31,0.39
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 175000, Control: 75, Own Province: True",0.09,0.2,0.3,0.39
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 175000, Control: 75, Own Province: False",0.1,0.2,0.29,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 175000, Control: 80, Own Province: True",0.1,0.19,0.29,0.38
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 175000, Control: 80, Own Province: False",0.1,0.2,0.3,0.39
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 175000, Control: 85, Own Province: True",0.08,0.17,0.27,0.37
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 175000, Control: 85, Own Province: False",0.09,0.21,0.29,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 175000, Control: 90, Own Province: True",0.08,0.17,0.23,0.33
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 175000, Control: 90, Own Province: False",0.1,0.21,0.29,0.41
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 175000, Control: 95, Own Province: True",0.07,0.14,0.21,0.28
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 175000, Control: 95, Own Province: False",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 175000, Control: 100, Own Province: True",0.06,0.12,0.16,0.23
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 175000, Control: 100, Own Province: False",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 75, Own Province: True",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 75, Own Province: False",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 80, Own Province: True",0.1,0.2,0.3,0.39
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 80, Own Province: False",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 85, Own Province: True",0.1,0.19,0.29,0.37
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 85, Own Province: False",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 90, Own Province: True",0.09,0.18,0.28,0.35
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 90, Own Province: False",0.1,0.2,0.29,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 95, Own Province: True",0.08,0.17,0.24,0.32
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 95, Own Province: False",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 100, Own Province: True",0.07,0.15,0.21,0.28
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 100, Own Province: False",0.11,0.2,0.3,0.39
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 225000, Control: 75, Own Province: True",0.09,0.2,0.3,0.41
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 225000, Control: 75, Own Province: False",0.1,0.19,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 225000, Control: 80, Own Province: True",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 225000, Control: 80, Own Province: False",0.1,0.19,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 225000, Control: 85, Own Province: True",0.1,0.2,0.29,0.39
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 225000, Control: 85, Own Province: False",0.09,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 225000, Control: 90, Own Province: True",0.09,0.19,0.29,0.38
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 225000, Control: 90, Own Province: False",0.1,0.2,0.29,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 225000, Control: 95, Own Province: True",0.09,0.17,0.28,0.35
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 225000, Control: 95, Own Province: False",0.1,0.19,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 225000, Control: 100, Own Province: True",0.08,0.16,0.25,0.33
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 225000, Control: 100, Own Province: False",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 75, Own Province: True",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 75, Own Province: False",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 80, Own Province: True",0.1,0.2,0.3,0.39
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 80, Own Province: False",0.1,0.2,0.31,0.39
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 85, Own Province: True",0.1,0.2,0.29,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 85, Own Province: False",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 90, Own Province: True",0.1,0.2,0.3,0.39
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 90, Own Province: False",0.09,0.2,0.31,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 95, Own Province: True",0.1,0.2,0.28,0.38
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 95, Own Province: False",0.1,0.19,0.3,0.41
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 100, Own Province: True",0.09,0.18,0.27,0.36
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 100, Own Province: False",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 275000, Control: 75, Own Province: True",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 275000, Control: 75, Own Province: False",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 275000, Control: 80, Own Province: True",0.1,0.2,0.29,0.41
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 275000, Control: 80, Own Province: False",0.1,0.2,0.31,0.39
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 275000, Control: 85, Own Province: True",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 275000, Control: 85, Own Province: False",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 275000, Control: 90, Own Province: True",0.1,0.2,0.29,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 275000, Control: 90, Own Province: False",0.11,0.19,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 275000, Control: 95, Own Province: True",0.1,0.2,0.3,0.39
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 275000, Control: 95, Own Province: False",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 275000, Control: 100, Own Province: True",0.09,0.19,0.28,0.39
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 275000, Control: 100, Own Province: False",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 75, Own Province: True",0.1,0.2,0.31,0.39
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 75, Own Province: False",0.1,0.21,0.29,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 80, Own Province: True",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 80, Own Province: False",0.11,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 85, Own Province: True",0.1,0.2,0.31,0.39
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 85, Own Province: False",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 90, Own Province: True",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 90, Own Province: False",0.1,0.2,0.3,0.39
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 95, Own Province: True",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 95, Own Province: False",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 100, Own Province: True",0.11,0.2,0.3,0.38
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 100, Own Province: False",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 75, Own Province: True",0.06,0.11,0.17,0.22
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 75, Own Province: False",0.06,0.12,0.17,0.22
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 80, Own Province: True",0.04,0.08,0.12,0.17
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 80, Own Province: False",0.07,0.14,0.21,0.28
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 85, Own Province: True",0.03,0.06,0.08,0.11
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 85, Own Province: False",0.08,0.16,0.25,0.33
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 90, Own Province: True",0.02,0.03,0.05,0.06
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 90, Own Province: False",0.09,0.18,0.27,0.37
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 95, Own Province: True",0.01,0.01,0.02,0.03
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 95, Own Province: False",0.1,0.19,0.29,0.38
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 100, Own Province: True",0.0,0.0,0.0,0.0
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 100, Own Province: False",0.1,0.2,0.29,0.39
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 25000, Control: 75, Own Province: True",0.07,0.15,0.2,0.29
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 25000, Control: 75, Own Province: False",0.07,0.14,0.21,0.28
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 25000, Control: 80, Own Province: True",0.06,0.1,0.18,0.23
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 25000, Control: 80, Own Province: False",0.08,0.16,0.24,0.32
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 25000, Control: 85, Own Province: True",0.04,0.08,0.13,0.17
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 25000, Control: 85, Own Province: False",0.09,0.18,0.26,0.36
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 25000, Control: 90, Own Province: True",0.03,0.06,0.09,0.11
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 25000, Control: 90, Own Province: False",0.09,0.19,0.28,0.38
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 25000, Control: 95, Own Province: True",0.02,0.03,0.04,0.06
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 25000, Control: 95, Own Province: False",0.1,0.2,0.3,0.39
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 25000, Control: 100, Own Province: True",0.01,0.02,0.02,0.03
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 25000, Control: 100, Own Province: False",0.1,0.21,0.3,0.39
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 75, Own Province: True",0.08,0.16,0.24,0.33
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 75, Own Province: False",0.08,0.16,0.24,0.33
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 80, Own Province: True",0.07,0.14,0.2,0.29
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 80, Own Province: False",0.09,0.18,0.27,0.35
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 85, Own Province: True",0.06,0.11,0.17,0.23
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 85, Own Province: False",0.09,0.19,0.29,0.38
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 90, Own Province: True",0.04,0.09,0.13,0.17
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 90, Own Province: False",0.1,0.18,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 95, Own Province: True",0.03,0.06,0.09,0.11
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 95, Own Province: False",0.1,0.2,0.29,0.4
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 100, Own Province: True",0.01,0.03,0.05,0.06
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 100, Own Province: False",0.1,0.2,0.3,0.41
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 75000, Control: 75, Own Province: True",0.09,0.17,0.27,0.36
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 75000, Control: 75, Own Province: False",0.08,0.18,0.27,0.37
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 75000, Control: 80, Own Province: True",0.08,0.17,0.24,0.32
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 75000, Control: 80, Own Province: False",0.1,0.19,0.28,0.38
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 75000, Control: 85, Own Province: True",0.07,0.14,0.21,0.28
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 75000, Control: 85, Own Province: False",0.09,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 75000, Control: 90, Own Province: True",0.06,0.11,0.17,0.24
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 75000, Control: 90, Own Province: False",0.09,0.2,0.31,0.39
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 75000, Control: 95, Own Province: True",0.04,0.08,0.13,0.17
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 75000, Control: 95, Own Province: False",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 75000, Control: 100, Own Province: True",0.03,0.05,0.09,0.11
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 75000, Control: 100, Own Province: False",0.1,0.2,0.3,0.41
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 75, Own Province: True",0.09,0.19,0.29,0.38
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 75, Own Province: False",0.1,0.19,0.28,0.38
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 80, Own Province: True",0.09,0.18,0.27,0.35
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 80, Own Province: False",0.1,0.2,0.29,0.39
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 85, Own Province: True",0.08,0.16,0.24,0.33
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 85, Own Province: False",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 90, Own Province: True",0.07,0.13,0.2,0.28
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 90, Own Province: False",0.1,0.21,0.3,0.39
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 95, Own Province: True",0.06,0.12,0.17,0.22
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 95, Own Province: False",0.1,0.2,0.3,0.4
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 100, Own Province: True",0.04,0.09,0.12,0.18
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 100, Own Province: False",0.1,0.2,0.3,0.41
