Conversion Type,% Chance of Failure
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 95, Own Province: False",74.24
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 100, Own Province: True",47.95
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 100, Own Province: False",74.55
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 85, Own Province: True",23.74
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 85, Own Province: False",24.22
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 90, Own Province: True",14.33
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 90, Own Province: False",35.67
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 95, Own Province: True",6.0
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 95, Own Province: False",47.53
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 100, Own Province: True",0.0
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 100, Own Province: False",60.92
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 85, Own Province: True",35.09
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 85, Own Province: False",35.11
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 90, Own Province: True",23.9
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 90, Own Province: False",47.88
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 95, Own Province: True",13.98
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 95, Own Province: False",61.59
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 100, Own Province: True",5.72
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 100, Own Province: False",74.38
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 85, Own Province: True",49.15
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 85, Own Province: False",47.29
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 90, Own Province: True",35.1
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 90, Own Province: False",60.69
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 95, Own Province: True",24.17
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 95, Own Province: False",74.82
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 100, Own Province: True",13.91
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 100, Own Province: False",74.58
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 150000, Control: 85, Own Province: True",60.73
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 150000, Control: 85, Own Province: False",61.22
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 150000, Control: 90, Own Province: True",47.89
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 150000, Control: 90, Own Province: False",74.32
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 150000, Control: 95, Own Province: True",36.5
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 150000, Control: 95, Own Province: False",73.63
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 150000, Control: 100, Own Province: True",23.35
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 150000, Control: 100, Own Province: False",73.86
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 200000, Control: 85, Own Province: True",74.53
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 200000, Control: 85, Own Province: False",74.16
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 200000, Control: 90, Own Province: True",60.32
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 200000, Control: 90, Own Province: False",73.54
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 200000, Control: 95, Own Province: True",47.34
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 200000, Control: 95, Own Province: False",74.18
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 200000, Control: 100, Own Province: True",34.95
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 200000, Control: 100, Own Province: False",73.61
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 250000, Control: 85, Own Province: True",74.84
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 250000, Control: 85, Own Province: False",74.75
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 250000, Control: 90, Own Province: True",74.28
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 250000, Control: 90, Own Province: False",73.83
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 250000, Control: 95, Own Province: True",61.0
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 250000, Control: 95, Own Province: False",73.86
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 250000, Control: 100, Own Province: True",47.45
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 250000, Control: 100, Own Province: False",74.27
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 300000, Control: 85, Own Province: True",74.14
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 300000, Control: 85, Own Province: False",73.54
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 300000, Control: 90, Own Province: True",74.63
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 300000, Control: 90, Own Province: False",74.92
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 300000, Control: 95, Own Province: True",73.39
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 300000, Control: 95, Own Province: False",75.01
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 300000, Control: 100, Own Province: True",60.9
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 300000, Control: 100, Own Province: False",74.93
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 1000, Control: 85, Own Province: True",34.6
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 1000, Control: 85, Own Province: False",35.32
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 1000, Control: 90, Own Province: True",23.63
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 1000, Control: 90, Own Province: False",48.22
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 1000, Control: 95, Own Province: True",14.06
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 1000, Control: 95, Own Province: False",61.72
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 1000, Control: 100, Own Province: True",5.82
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 1000, Control: 100, Own Province: False",74.94
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 50000, Control: 85, Own Province: True",48.34
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 50000, Control: 85, Own Province: False",48.24
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 50000, Control: 90, Own Province: True",34.67
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 50000, Control: 90, Own Province: False",60.79
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 50000, Control: 95, Own Province: True",24.73
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 50000, Control: 95, Own Province: False",74.31
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 50000, Control: 100, Own Province: True",13.45
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 50000, Control: 100, Own Province: False",74.09
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 100000, Control: 85, Own Province: True",61.42
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 100000, Control: 85, Own Province: False",60.76
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 100000, Control: 90, Own Province: True",48.36
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 100000, Control: 90, Own Province: False",74.61
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 100000, Control: 95, Own Province: True",34.23
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 100000, Control: 95, Own Province: False",75.12
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 100000, Control: 100, Own Province: True",23.94
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 100000, Control: 100, Own Province: False",73.91
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 150000, Control: 85, Own Province: True",74.36
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 150000, Control: 85, Own Province: False",73.87
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 150000, Control: 90, Own Province: True",61.41
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 150000, Control: 90, Own Province: False",75.41
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 150000, Control: 95, Own Province: True",48.51
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 150000, Control: 95, Own Province: False",74.28
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 150000, Control: 100, Own Province: True",34.75
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 150000, Control: 100, Own Province: False",74.71
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 200000, Control: 85, Own Province: True",73.87
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 200000, Control: 85, Own Province: False",73.51
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 200000, Control: 90, Own Province: True",74.13
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 200000, Control: 90, Own Province: False",74.24
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 200000, Control: 95, Own Province: True",61.96
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 200000, Control: 95, Own Province: False",73.65
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 200000, Control: 100, Own Province: True",47.53
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 200000, Control: 100, Own Province: False",73.59
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 250000, Control: 85, Own Province: True",74.14
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 250000, Control: 85, Own Province: False",74.28
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 250000, Control: 90, Own Province: True",74.56
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 250000, Control: 90, Own Province: False",74.26
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 250000, Control: 95, Own Province: True",73.71
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 250000, Control: 95, Own Province: False",73.77
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 250000, Control: 100, Own Province: True",61.35
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 250000, Control: 100, Own Province: False",73.33
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 300000, Control: 85, Own Province: True",74.6
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 300000, Control: 85, Own Province: False",74.05
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 300000, Control: 90, Own Province: True",74.29
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 300000, Control: 90, Own Province: False",74.32
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 300000, Control: 95, Own Province: True",73.61
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 300000, Control: 95, Own Province: False",74.1
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 300000, Control: 100, Own Province: True",74.69
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 300000, Control: 100, Own Province: False",74.69
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 1000, Control: 85, Own Province: True",24.52
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 1000, Control: 85, Own Province: False",24.1
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 1000, Control: 90, Own Province: True",13.59
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 1000, Control: 90, Own Province: False",34.91
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 1000, Control: 95, Own Province: True",5.98
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 1000, Control: 95, Own Province: False",48.07
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 1000, Control: 100, Own Province: True",0.0
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 1000, Control: 100, Own Province: False",61.07
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 50000, Control: 85, Own Province: True",34.9
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 50000, Control: 85, Own Province: False",34.69
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 50000, Control: 90, Own Province: True",24.25
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 50000, Control: 90, Own Province: False",48.45
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 50000, Control: 95, Own Province: True",13.05
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 50000, Control: 95, Own Province: False",61.99
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 50000, Control: 100, Own Province: True",5.74
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 50000, Control: 100, Own Province: False",73.96
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 100000, Control: 85, Own Province: True",48.09
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 100000, Control: 85, Own Province: False",48.5
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 100000, Control: 90, Own Province: True",35.34
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 100000, Control: 90, Own Province: False",61.39
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 100000, Control: 95, Own Province: True",23.91
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 100000, Control: 95, Own Province: False",74.47
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 100000, Control: 100, Own Province: True",13.87
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 100000, Control: 100, Own Province: False",74.71
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 150000, Control: 85, Own Province: True",60.99
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 150000, Control: 85, Own Province: False",61.05
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 150000, Control: 90, Own Province: True",48.17
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 150000, Control: 90, Own Province: False",73.92
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 150000, Control: 95, Own Province: True",35.75
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 150000, Control: 95, Own Province: False",73.72
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 150000, Control: 100, Own Province: True",24.03
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 150000, Control: 100, Own Province: False",73.45
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 200000, Control: 85, Own Province: True",74.48
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 200000, Control: 85, Own Province: False",74.25
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 200000, Control: 90, Own Province: True",61.29
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 200000, Control: 90, Own Province: False",73.83
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 200000, Control: 95, Own Province: True",47.81
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 200000, Control: 95, Own Province: False",74.13
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 200000, Control: 100, Own Province: True",35.23
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 200000, Control: 100, Own Province: False",73.59
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 250000, Control: 85, Own Province: True",73.88
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 250000, Control: 85, Own Province: False",73.55
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 250000, Control: 90, Own Province: True",74.27
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 250000, Control: 90, Own Province: False",73.92
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 250000, Control: 95, Own Province: True",61.27
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 250000, Control: 95, Own Province: False",73.69
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 250000, Control: 100, Own Province: True",49.01
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 250000, Control: 100, Own Province: False",74.58
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 300000, Control: 85, Own Province: True",73.58
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 300000, Control: 85, Own Province: False",73.09
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 300000, Control: 90, Own Province: True",73.54
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 300000, Control: 90, Own Province: False",74.34
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 300000, Control: 95, Own Province: True",74.36
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 300000, Control: 95, Own Province: False",74.2
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 300000, Control: 100, Own Province: True",61.23
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 300000, Control: 100, Own Province: False",73.65
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 1000, Control: 85, Own Province: True",23.17
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 1000, Control: 85, Own Province: False",23.51
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 1000, Control: 90, Own Province: True",13.72
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 1000, Control: 90, Own Province: False",35.65
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 1000, Control: 95, Own Province: True",5.99
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 1000, Control: 95, Own Province: False",48.92
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 1000, Control: 100, Own Province: True",0.0
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 1000, Control: 100, Own Province: False",60.87
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 50000, Control: 85, Own Province: True",34.68
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 50000, Control: 85, Own Province: False",34.43
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 50000, Control: 90, Own Province: True",24.44
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 50000, Control: 90, Own Province: False",48.14
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 50000, Control: 95, Own Province: True",13.86
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 50000, Control: 95, Own Province: False",62.1
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 50000, Control: 100, Own Province: True",5.66
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 50000, Control: 100, Own Province: False",74.21
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 100000, Control: 85, Own Province: True",48.14
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 100000, Control: 85, Own Province: False",48.15
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 100000, Control: 90, Own Province: True",35.28
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 100000, Control: 90, Own Province: False",61.52
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 100000, Control: 95, Own Province: True",24.51
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 100000, Control: 95, Own Province: False",74.32
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 100000, Control: 100, Own Province: True",14.25
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 100000, Control: 100, Own Province: False",74.59
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 150000, Control: 85, Own Province: True",61.2
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 150000, Control: 85, Own Province: False",61.68
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 150000, Control: 90, Own Province: True",49.11
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 150000, Control: 90, Own Province: False",73.95
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 150000, Control: 95, Own Province: True",35.9
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 150000, Control: 95, Own Province: False",74.77
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 150000, Control: 100, Own Province: True",23.39
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 150000, Control: 100, Own Province: False",74.14
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 200000, Control: 85, Own Province: True",73.62
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 200000, Control: 85, Own Province: False",74.58
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 200000, Control: 90, Own Province: True",61.49
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 200000, Control: 90, Own Province: False",74.08
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 200000, Control: 95, Own Province: True",48.22
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 200000, Control: 95, Own Province: False",74.24
