Conversion Type,Duration
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 85, Own Province: False",9.28
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 90, Own Province: True",8.58
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 90, Own Province: False",10.05
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 95, Own Province: True",7.94
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 95, Own Province: False",10.13
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 100, Own Province: True",7.38
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 200000, Control: 100, Own Province: False",10.08
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 85, Own Province: True",10.2
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 85, Own Province: False",10.09
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 90, Own Province: True",9.27
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 90, Own Province: False",10.07
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 95, Own Province: True",8.56
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 95, Own Province: False",10.08
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 100, Own Province: True",7.97
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 250000, Control: 100, Own Province: False",10.13
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 85, Own Province: True",10.08
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 85, Own Province: False",10.12
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 90, Own Province: True",10.13
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 90, Own Province: False",10.07
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 95, Own Province: True",9.33
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 95, Own Province: False",10.09
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 100, Own Province: True",8.57
"New Religion: Faith of the Seven, Current Religion: Old Gods, Population: 300000, Control: 100, Own Province: False",10.14
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 85, Own Province: True",7.4
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 85, Own Province: False",7.36
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 90, Own Province: True",6.85
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 90, Own Province: False",7.95
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 95, Own Province: True",6.32
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 95, Own Province: False",8.58
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 100, Own Province: True",5.82
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 1000, Control: 100, Own Province: False",9.3
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 85, Own Province: True",7.96
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 85, Own Province: False",8.0
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 90, Own Province: True",7.42
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 90, Own Province: False",8.6
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 95, Own Province: True",6.83
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 95, Own Province: False",9.34
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 100, Own Province: True",6.34
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 50000, Control: 100, Own Province: False",10.04
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 85, Own Province: True",8.53
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 85, Own Province: False",8.57
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 90, Own Province: True",7.97
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 90, Own Province: False",9.32
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 95, Own Province: True",7.36
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 95, Own Province: False",10.12
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 100, Own Province: True",6.85
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 100000, Control: 100, Own Province: False",10.12
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 150000, Control: 85, Own Province: True",9.27
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 150000, Control: 85, Own Province: False",9.31
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 150000, Control: 90, Own Province: True",8.57
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 150000, Control: 90, Own Province: False",10.12
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 150000, Control: 95, Own Province: True",7.98
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 150000, Control: 95, Own Province: False",10.12
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 150000, Control: 100, Own Province: True",7.36
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 150000, Control: 100, Own Province: False",10.12
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 200000, Control: 85, Own Province: True",10.11
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 200000, Control: 85, Own Province: False",10.12
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 200000, Control: 90, Own Province: True",9.25
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 200000, Control: 90, Own Province: False",10.18
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 200000, Control: 95, Own Province: True",8.56
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 200000, Control: 95, Own Province: False",10.07
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 200000, Control: 100, Own Province: True",7.95
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 200000, Control: 100, Own Province: False",10.18
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 250000, Control: 85, Own Province: True",10.13
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 250000, Control: 85, Own Province: False",10.17
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 250000, Control: 90, Own Province: True",10.11
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 250000, Control: 90, Own Province: False",10.18
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 250000, Control: 95, Own Province: True",9.3
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 250000, Control: 95, Own Province: False",10.12
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 250000, Control: 100, Own Province: True",8.53
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 250000, Control: 100, Own Province: False",10.06
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 300000, Control: 85, Own Province: True",10.2
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 300000, Control: 85, Own Province: False",10.07
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 300000, Control: 90, Own Province: True",10.2
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 300000, Control: 90, Own Province: False",10.15
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 300000, Control: 95, Own Province: True",10.1
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 300000, Control: 95, Own Province: False",10.21
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 300000, Control: 100, Own Province: True",9.22
"New Religion: Faith of the Seven, Current Religion: Skagosi Old Gods, Population: 300000, Control: 100, Own Province: False",10.21
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 1000, Control: 85, Own Province: True",7.94
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 1000, Control: 85, Own Province: False",7.96
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 1000, Control: 90, Own Province: True",7.37
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 1000, Control: 90, Own Province: False",8.57
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 1000, Control: 95, Own Province: True",6.83
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 1000, Control: 95, Own Province: False",9.24
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 1000, Control: 100, Own Province: True",6.34
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 1000, Control: 100, Own Province: False",10.17
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 50000, Control: 85, Own Province: True",8.62
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 50000, Control: 85, Own Province: False",8.58
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 50000, Control: 90, Own Province: True",7.98
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 50000, Control: 90, Own Province: False",9.29
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 50000, Control: 95, Own Province: True",7.36
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 50000, Control: 95, Own Province: False",10.14
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 50000, Control: 100, Own Province: True",6.86
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 50000, Control: 100, Own Province: False",10.15
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 100000, Control: 85, Own Province: True",9.24
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 100000, Control: 85, Own Province: False",9.29
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 100000, Control: 90, Own Province: True",8.59
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 100000, Control: 90, Own Province: False",10.16
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 100000, Control: 95, Own Province: True",7.97
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 100000, Control: 95, Own Province: False",10.07
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 100000, Control: 100, Own Province: True",7.35
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 100000, Control: 100, Own Province: False",10.11
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 150000, Control: 85, Own Province: True",10.05
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 150000, Control: 85, Own Province: False",10.08
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 150000, Control: 90, Own Province: True",9.28
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 150000, Control: 90, Own Province: False",10.11
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 150000, Control: 95, Own Province: True",8.6
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 150000, Control: 95, Own Province: False",10.16
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 150000, Control: 100, Own Province: True",7.95
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 150000, Control: 100, Own Province: False",10.17
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 200000, Control: 85, Own Province: True",10.1
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 200000, Control: 85, Own Province: False",10.06
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 200000, Control: 90, Own Province: True",10.15
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 200000, Control: 90, Own Province: False",10.14
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 200000, Control: 95, Own Province: True",9.33
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 200000, Control: 95, Own Province: False",10.1
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 200000, Control: 100, Own Province: True",8.57
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 200000, Control: 100, Own Province: False",10.11
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 250000, Control: 85, Own Province: True",10.06
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 250000, Control: 85, Own Province: False",10.14
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 250000, Control: 90, Own Province: True",10.08
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 250000, Control: 90, Own Province: False",10.15
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 250000, Control: 95, Own Province: True",10.03
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 250000, Control: 95, Own Province: False",10.17
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 250000, Control: 100, Own Province: True",9.31
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 250000, Control: 100, Own Province: False",10.17
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 300000, Control: 85, Own Province: True",10.09
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 300000, Control: 85, Own Province: False",10.09
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 300000, Control: 90, Own Province: True",10.06
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 300000, Control: 90, Own Province: False",10.12
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 300000, Control: 95, Own Province: True",10.1
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 300000, Control: 95, Own Province: False",10.13
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 300000, Control: 100, Own Province: True",10.04
"New Religion: Faith of the Seven, Current Religion: DrownedGod, Population: 300000, Control: 100, Own Province: False",10.19
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 1000, Control: 85, Own Province: True",7.39
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 1000, Control: 85, Own Province: False",7.42
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 1000, Control: 90, Own Province: True",6.83
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 1000, Control: 90, Own Province: False",7.99
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 1000, Control: 95, Own Province: True",6.3
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 1000, Control: 95, Own Province: False",8.59
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 1000, Control: 100, Own Province: True",5.81
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 1000, Control: 100, Own Province: False",9.27
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 50000, Control: 85, Own Province: True",7.95
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 50000, Control: 85, Own Province: False",8.0
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 50000, Control: 90, Own Province: True",7.36
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 50000, Control: 90, Own Province: False",8.62
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 50000, Control: 95, Own Province: True",6.86
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 50000, Control: 95, Own Province: False",9.29
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 50000, Control: 100, Own Province: True",6.32
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 50000, Control: 100, Own Province: False",10.14
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 100000, Control: 85, Own Province: True",8.63
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 100000, Control: 85, Own Province: False",8.56
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 100000, Control: 90, Own Province: True",7.92
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 100000, Control: 90, Own Province: False",9.29
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 100000, Control: 95, Own Province: True",7.38
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 100000, Control: 95, Own Province: False",10.14
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 100000, Control: 100, Own Province: True",6.86
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 100000, Control: 100, Own Province: False",10.06
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 150000, Control: 85, Own Province: True",9.26
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 150000, Control: 85, Own Province: False",9.34
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 150000, Control: 90, Own Province: True",8.58
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 150000, Control: 90, Own Province: False",10.07
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 150000, Control: 95, Own Province: True",7.94
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 150000, Control: 95, Own Province: False",10.17
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 150000, Control: 100, Own Province: True",7.38
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 150000, Control: 100, Own Province: False",10.15
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 200000, Control: 85, Own Province: True",10.22
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 200000, Control: 85, Own Province: False",10.1
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 200000, Control: 90, Own Province: True",9.29
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 200000, Control: 90, Own Province: False",10.13
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 200000, Control: 95, Own Province: True",8.6
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 200000, Control: 95, Own Province: False",10.08
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 200000, Control: 100, Own Province: True",7.97
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 200000, Control: 100, Own Province: False",10.17
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 250000, Control: 85, Own Province: True",10.16
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 250000, Control: 85, Own Province: False",10.1
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 250000, Control: 90, Own Province: True",10.17
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 250000, Control: 90, Own Province: False",10.13
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 250000, Control: 95, Own Province: True",9.28
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 250000, Control: 95, Own Province: False",10.12
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 250000, Control: 100, Own Province: True",8.62
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 250000, Control: 100, Own Province: False",10.08
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 300000, Control: 85, Own Province: True",10.16
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 300000, Control: 85, Own Province: False",10.15
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 300000, Control: 90, Own Province: True",10.14
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 300000, Control: 90, Own Province: False",10.13
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 300000, Control: 95, Own Province: True",10.08
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 300000, Control: 95, Own Province: False",10.05
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 300000, Control: 100, Own Province: True",9.27
"New Religion: Faith of the Seven, Current Religion: DrownedGodII, Population: 300000, Control: 100, Own Province: False",10.02
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 1000, Control: 85, Own Province: True",7.41
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 1000, Control: 85, Own Province: False",7.38
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 1000, Control: 90, Own Province: True",6.86
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 1000, Control: 90, Own Province: False",7.99
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 1000, Control: 95, Own Province: True",6.29
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 1000, Control: 95, Own Province: False",8.55
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 1000, Control: 100, Own Province: True",5.81
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 1000, Control: 100, Own Province: False",9.32
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 50000, Control: 85, Own Province: True",7.97
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 50000, Control: 85, Own Province: False",7.97
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 50000, Control: 90, Own Province: True",7.39
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 50000, Control: 90, Own Province: False",8.59
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 50000, Control: 95, Own Province: True",6.85
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 50000, Control: 95, Own Province: False",9.22
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 50000, Control: 100, Own Province: True",6.3
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 50000, Control: 100, Own Province: False",10.12
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 100000, Control: 85, Own Province: True",8.58
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 100000, Control: 85, Own Province: False",8.57
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 100000, Control: 90, Own Province: True",7.98
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 100000, Control: 90, Own Province: False",9.23
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 100000, Control: 95, Own Province: True",7.4
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 100000, Control: 95, Own Province: False",10.09
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 100000, Control: 100, Own Province: True",6.85
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 100000, Control: 100, Own Province: False",10.11
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 150000, Control: 85, Own Province: True",9.27
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 150000, Control: 85, Own Province: False",9.31
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 150000, Control: 90, Own Province: True",8.6
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 150000, Control: 90, Own Province: False",10.12
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 150000, Control: 95, Own Province: True",7.94
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 150000, Control: 95, Own Province: False",10.18
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 150000, Control: 100, Own Province: True",7.37
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 150000, Control: 100, Own Province: False",10.1
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 200000, Control: 85, Own Province: True",10.15
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 200000, Control: 85, Own Province: False",10.09
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 200000, Control: 90, Own Province: True",9.31
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 200000, Control: 90, Own Province: False",10.17
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 200000, Control: 95, Own Province: True",8.62
"New Religion: Faith of the Seven, Current Religion: Mother Rhoyne, Population: 200000, Control: 95, Own Province: False",10.13
